Object ID,Department,Object Name,Title,Culture,Artist Nationality,Object Begin Date,Object End Date,Medium,Credit Line,Country
80735,Costume Institute,Belt,Belt,Japanese,Japanese|Japanese,1970-01-01,1970-01-01,"Leather, Metal","Gift of Linda A. Rosenthal, 1993",
81291,Costume Institute,Pumps,Pumps,British,British,1970-01-01,1970-01-01,Leather,"Gift of Holly Solomon, 1999",
81451,Costume Institute,Evening dress,Evening dress,American,American|American,1970-01-01,1970-01-01,Rayon,"Gift of Calvin Klein, Inc., 1998",
83780,Costume Institute,Shoes,Shoes,Italian,Italian,1970-01-01,1970-01-01,Synthetic,"Gift of Muriel Kallis Newman, 2002",
90373,Costume Institute,Earrings,Earrings,"European, Eastern",,1970-01-01,1970-01-01,Metal,"Rogers Fund, 1909",
96100,Costume Institute,Evening dress,Evening dress,French,"French, born Italy",1970-01-01,1970-01-01,[No Medium Available],"Gift of Mrs. William Rand, 1975",
98251,Costume Institute,Cap,Cap,Probably French,,1970-01-01,1970-01-01,Wool,Museum Accession,
100359,Costume Institute,Hat,Hat,French,French|French,1970-01-01,1970-01-01,"Wool, Cotton","Gift of Mary S. Ryan, 1981",
114490,Costume Institute,Mules,Mules,American,American,1970-01-01,1970-01-01,"Leather, Wood, Metal Glass","Gift of Beth and Herbert Levine, 1977",
119757,Costume Institute,Gloves,Gloves,Probably French,,1970-01-01,1970-01-01,Leather,"Gift of Mrs. Stowe C. Phelps, 1980",
127104,Costume Institute,Ensemble,Ensemble,Romanian,,1970-01-01,1970-01-01,"Linen, Wool","Gift of Miss Irene Lewisohn and Alice Lewisohn Crowley, 1939",
129839,Costume Institute,Ensemble,Ensemble,British,British|British,1970-01-01,1970-01-01,"A) Leather; B) Leather, Metal","Purchase, Richard Martin Bequest and Friends of The Costume Institute Gifts, 2006",
145237,Costume Institute,Necklace,Necklace,American,,1970-01-01,1970-01-01,"Synthetic, Metal","Gift of Martin F. Price, 2017",
146150,Costume Institute,Jacket,Jacket,American,American,1970-01-01,1970-01-01,"Leather, Wool","Catharine Breyer Van Bomel Foundation Fund, 2008",
168579,Costume Institute,Chemisette,Chemisette,American,,1970-01-01,1970-01-01,Cotton,"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of Louise M. Coleman, 1941",
168781,Costume Institute,Fan,Fan,European,,1970-01-01,1970-01-01,"Ivory, Paper","Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of George Arents in memory of Annie Walter Arents, 1949",
169926,Costume Institute,Undersleeves,Undersleeves,American,,1970-01-01,1970-01-01,Linen,"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of The Jason and Peggy Westerfield Collection, 1969",
170041,Costume Institute,Evening shoes,Evening shoes,American,American,1970-01-01,1970-01-01,"Leather, Metallic","Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of Colonel and Mrs. Horace Figuers, 1973",
174460,Costume Institute,Ensemble,Ensemble,American,American,1970-01-01,1970-01-01,Wool,"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of Mrs. Albert Ogden in memory of Sheldon Stewart, 1964",
187639,European Sculpture And Decorative Arts,Knife and fork with case,Knife and fork with case,Possibly Greek,,1970-01-01,1970-01-01,"Steel, Silver, Niello; Case:  Leather, Silver, Niello","Gift of R. Stuyvesant, 1893",
190199,European Sculpture And Decorative Arts,Swags,Set of five swags,French,,1970-01-01,1970-01-01,Gilt Bronze,"Gift of J. Pierpont Morgan, 1906",
194582,European Sculpture And Decorative Arts,Jug with cover,Jug with cover,"German, Silesia (Bunzlau)",,1970-01-01,1970-01-01,Stoneware,"Gift of Mrs. Robert W. de Forest, 1920",
198408,European Sculpture And Decorative Arts,Plaque,Marriage of Peleus and Thetis,"Italian, Venice",Italian,1970-01-01,1970-01-01,Bronze,"Samuel D. Lee Fund, 1939",
200381,European Sculpture And Decorative Arts,Snuffbox,Snuffbox,"German, Hanau",,1970-01-01,1970-01-01,Gold,"Bequest of Catherine D. Wentworth, 1948",
201480,European Sculpture And Decorative Arts,Chess set,Chess set,Probably German,,1970-01-01,1970-01-01,Metal,"Gift of Gustavus A. Pfeiffer, 1953",
203525,European Sculpture And Decorative Arts,Toy,Partridges in wheatsheaf,"British, Chelsea",,1970-01-01,1970-01-01,Soft-Paste Porcelain,"Gift of Irwin Untermyer, 1964",
211642,European Sculpture And Decorative Arts,Souvenir spoon,Souvenir spoon,European,,1970-01-01,1970-01-01,Gilt And Enamel,"Gift of Sir William H. Redding, in memory of his wife, 1907",
218086,European Sculpture And Decorative Arts,Border,Border,"Italian, Venice",,1970-01-01,1970-01-01,Needle Lace,"Purchase by subscription, 1909",
218343,European Sculpture And Decorative Arts,Fragment,Fragment,Spanish,,1970-01-01,1970-01-01,Machine Net,"Purchase by subscription, 1909",
226057,European Sculpture And Decorative Arts,Borders,Borders,French,,1970-01-01,1970-01-01,Needle Lace,"Gift of Ann Payne Blumenthal, 1936",
229526,European Sculpture And Decorative Arts,Panel,Panel,French,,1970-01-01,1970-01-01,Silk,"Gift of Mrs. Janet S. Kaffenburgh in memory of her grandmother Mrs. Joseph Garson of Rochester, N.Y., 1976",
236638,European Sculpture And Decorative Arts,Plaque,Head described as that of Saint James the Elder,German,,1970-01-01,1970-01-01,Iron,"Gift of Martin and Roberta Lerner, 2009",
241148,Greek And Roman Art,Statuette of a seated goddess,Terracotta statuette of a seated goddess,Cypriot,,1969-12-31,1969-12-31,Terracotta,"The Cesnola Collection, Purchased by subscription, 1874–76",
244271,Greek And Roman Art,Axehead,Axehead,Cypriot,,1969-12-31,1969-12-31,Bronze,"The Cesnola Collection, Purchased by subscription, 1874–76",
246324,Greek And Roman Art,"Fibula, boat-shaped type","Fibula, boat-shaped type",Italic,,1969-12-31,1969-12-31,Bronze,"Purchase, 1896",
250722,Greek And Roman Art,"Statuette of a woman, seated",Terracotta statuette of a seated woman,"Greek, Attic",,1969-12-31,1969-12-31,Terracotta,"Gift of Henry S. Washington, 1919",
252173,Greek And Roman Art,Seal,Jasper amygdaloid seal,Minoan,,1969-12-31,1969-12-31,Jasper,"Bequest of Richard B. Seager, 1926",
252221,Greek And Roman Art,Seal,Seal,"Minoan, Crete",,1969-12-31,1969-12-31,Haemaetite,"Bequest of Richard B. Seager, 1926",
311479,"Arts Of Africa, Oceania, And The Americas",Horn,Horn,Asmat People,,1970-01-01,1970-01-01,Bamboo,"The Michael C. Rockefeller Memorial Collection; Gift of Nelson A. Rockefeller and Mrs. Mary C. Rockefeller, 1965",Indonesia
312687,"Arts Of Africa, Oceania, And The Americas",Snake figure,Coiled Serpent,Aztec,,1970-01-01,1970-01-01,"Stone, Pigment","The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979",Mexico
313019,"Arts Of Africa, Oceania, And The Americas",Pendant,Figure Pendant,Atlantic Watershed,,1970-01-01,1970-01-01,Jadeite,"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979",Costa Rica
316760,"Arts Of Africa, Oceania, And The Americas",Painting,Painting,Abelam People,,1970-01-01,1970-01-01,"Paper, Paint","Gift of Lita Osmundsen, 1992",Papua New Guinea
317135,"Arts Of Africa, Oceania, And The Americas",Ritual stone,Stone Pulidor,Mexican,,1970-01-01,1970-01-01,Stone,"Bequest of Arthur M. Bullowa, 1993  ",Mexico
319532,"Arts Of Africa, Oceania, And The Americas",Costume element,Ceremonial Costume Element,Timor,,1970-01-01,1970-01-01,"Cotton, Glass Beads","Bequest of John B. Elliott, 1997",Indonesia
323644,Ancient Near Eastern Art,Sherd,Sherd,Iran,,1969-12-31,1969-12-31,"Ceramic, Paint","Rogers Fund, 1938",
466522,Medieval Art,Fragment,Glass Fragment,French,,1970-01-01,1970-01-01,Colorless Glass,"Gift of Dr. Bashford Dean, 1923",France
468605,Medieval Art,Hilt,Eagle-Headed Hilt,Byzantine,,1970-01-01,1970-01-01,Copper Alloy,"Gift of Lawrence J. Majewski, 1963",
469993,The Cloisters,Panel,Grisaille Panel,French,,1970-01-01,1970-01-01,White And Pot-Metal Glass With Vitreous Paint,"The Cloisters Collection, 1982",France
470842,The Cloisters,Capital,Capital,Catalan,,1970-01-01,1970-01-01,Marble,"The Cloisters Collection, 1925",present-day France
471090,The Cloisters,Roundel,Roundel with Saint John the Baptist,South Netherlandish,,1970-01-01,1970-01-01,"Colorless Glass, Silver Stain, Vitreous Paint","The Cloisters Collection, 1932",
693616,Greek And Roman Art,Kylix fragment,Terracotta rim fragment of a kylix (drinking cup),"Greek, Attic",,1969-12-31,1969-12-31,Terracotta,"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art, 2011",
695260,Medieval Art,Fragment,Fragment,European Or Middle Eastern,,1970-01-01,1970-01-01,"Glass, Ceramic","Gift of Clarence H. Mackay, Archer M. Huntington, Stephen H. P. Pell and Bashford Dean, 1928",
703467,Greek And Roman Art,Kylix fragment,Terracotta fragment of a kylix (drinking cup),"Greek, Attic",,1969-12-31,1969-12-31,Terracotta,"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art, 2011",
709728,Greek And Roman Art,Kylix fragment,Terracotta fragment of a kylix (drinking cup),"Greek, Attic",,1969-12-31,1969-12-31,Terracotta,"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art, 2011",
728820,Greek And Roman Art,Column-krater fragment,Terracotta fragment of a column-krater (bowl for mixing wine and water),"Greek, Attic",,1969-12-31,1969-12-31,Terracotta,"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art, 2011",
733407,Greek And Roman Art,Oinochoe fragment,Terracotta fragment of an oinochoe (jug),"Greek, Attic",,1969-12-31,1969-12-31,Terracotta,"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art, 2011",
740176,Greek And Roman Art,Skyphos fragment,Terracotta fragment of a skyphos (deep drinking cup),"Greek, Attic",,1969-12-31,1969-12-31,Terracotta,"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art, 2011",
771069,European Sculpture And Decorative Arts,Vase,Vase with flowering branch motif (one of a pair),"British, Stoke-On-Trent, Staffordshire",,1970-01-01,1970-01-01,Bone China,"Gift of Helene Fortunoff and Robert Grossman, 2017",
